Electorate,Place,Address,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
"Papakura","Papakura","Cosgrove School Hall, 10 Cosgrave Road",0,1,0,5,0,45,8,0,1,3,0,0,0,0,0,1,1,65,1
"Papakura","Papakura","Harvest Christian Church, 3 Beach Road",0,0,0,1,0,20,2,0,0,1,0,0,0,0,0,0,0,24,0
"Papakura","Papakura","Kelvin Road School Hall, 74 Kelvin Road",0,0,4,1,0,31,5,2,0,4,0,0,0,0,0,0,2,49,2
"Papakura","Papakura","Ngā Puāwai O Wikitoria Te Kohānga Reo, 32 Old Wairoa Road",0,0,1,0,0,29,6,1,0,5,1,0,0,0,0,0,2,45,0
"Papakura","Papakura","NZ Bloodstock Centre, 10 Hinau Road",0,1,0,0,0,8,1,1,0,0,0,0,0,0,0,0,1,12,0
"Papakura","Papakura","Opaheke School Hall, 12a Tasman Drive",2,0,1,0,0,18,0,0,0,0,1,0,0,0,0,0,0,22,0
"Papakura","Papakura","Papakura Anglican Church Hall, 40 Coles Crescent",0,1,0,0,0,7,4,1,0,0,0,0,0,0,0,0,0,13,0
"Papakura","Papakura","Papakura Bridge Club, 13 Opaheke Road",0,0,0,1,0,11,2,0,0,0,0,0,0,0,0,0,0,14,0
"Papakura","Papakura","Papakura Central School Auditorium, 23 Ray Small Drive",0,1,1,2,0,14,1,1,0,2,0,0,0,0,0,1,0,23,0
"Papakura","Papakura","Papakura High School Hall, 11 Willis Road",0,1,1,2,0,41,7,2,1,3,0,0,0,0,0,0,1,59,1
"Papakura","Papakura","Papakura Normal School Hall, 49 Walters Road (Walters Road entrance)",0,2,2,0,0,20,7,0,0,2,0,0,0,0,0,1,0,34,1
"Papakura","Papakura","Park Estate School Hall, 38 Park Estate Road",0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,8,0
"Papakura","Papakura","Red Hill Community Centre, 163 Dominion Road (corner Croskery Road)",0,2,1,2,0,19,4,4,1,4,0,0,0,0,0,0,1,38,0
"Papakura","Papakura","Rosehill School, 48-52 Rosehill Drive",0,0,0,1,0,34,4,0,0,2,0,0,0,0,0,0,0,41,0
"Papakura","Papakura","Smiths Ave Community Hall, 18R Smiths Ave",1,0,1,0,0,29,4,1,1,4,0,0,0,0,0,0,1,42,3
"Papakura","Papakura","South Auckland Car Club, Wellington Park, 1 Great South Road",1,0,0,3,0,15,3,0,0,3,1,0,0,0,0,0,0,26,1
"Papakura","Ramarama","Ramarama School, 126 Ararimu Road",1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,7,0
"Papakura","Whitford","Whitford Hall, 1 Whitford-Maraetai Road",0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,7,0
"Port Waikato","Āwhitu","Awhitu District School, Corner Matakawa & Awhitu Roads",0,1,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,8,0
"Port Waikato","Buckland","Buckland School, 72 George Crescent",0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,6,0
"Port Waikato","Clarks Beach","Church By The Seashore, 14-16 Torkar Road",2,2,0,2,0,10,4,2,0,4,1,0,0,0,0,0,0,27,0
"Port Waikato","Glenbrook","Glenbrook Primary School, 459 Glenbrook Road",1,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,7,0
"Port Waikato","Harrisville","Harrisville School, 202 Harrisville Road",1,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,9,0
"Port Waikato","Mangatawhiri","Mangatawhiri School, 15 McKenzie Road",1,0,0,0,0,10,1,3,0,1,0,0,0,0,0,0,0,16,0
"Port Waikato","Maramarua","Maramarua School, 2200 State Highway 2",0,2,0,1,0,9,0,1,0,2,0,0,0,0,0,0,2,17,1
"Port Waikato","Mercer","Mercer School, 15 Glass Road",0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,6,0
"Port Waikato","Meremere","Meremere School, 23 Heather Green Avenue",0,3,1,0,0,18,5,0,0,0,0,0,0,0,0,0,0,27,2
"Port Waikato","Onewhero","Onewhero Area School, 29 Hall Road",0,0,0,0,0,7,2,2,0,0,0,0,0,0,0,0,0,11,0
"Port Waikato","Paerata","Paerata Community Centre, 1022 Paerata Road",0,0,0,1,0,9,0,0,0,1,0,0,0,0,0,0,0,11,0
"Port Waikato","Patumahoe","Patumahoe School, 38 Patumahoe Rd",0,0,0,0,0,13,2,1,0,2,0,1,0,0,0,0,0,19,0
"Port Waikato","Pōkeno","Pokeno School, 54 Pokeno Road",0,1,0,1,2,10,2,3,0,2,0,0,0,0,0,0,0,21,0
"Port Waikato","Port Waikato","Port Waikato Community Hub, 1 Ocean View Road",1,0,0,0,1,13,3,0,0,0,0,0,0,0,0,0,0,18,0
"Port Waikato","Pukekawa","Pukekawa School, 803 Highway 22",1,0,0,1,0,7,2,2,0,2,0,0,0,0,0,0,0,15,0
"Port Waikato","Pukekohe","Franklin Baptist Church, 128-144 Victoria St West",0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,1,1,11,0
"Port Waikato","Pukekohe","Pukekohe Hill School, Corner Ward Street & Green Lane",1,1,0,1,0,9,4,5,0,0,0,0,0,0,0,0,0,21,0
"Port Waikato","Pukekohe","Pukekohe Intermediate School, 44 Queen Street",1,1,0,2,1,36,7,2,0,2,0,0,0,0,0,1,0,53,1
"Port Waikato","Pukekohe","Pukekohe North School, Corner Princes Street & Beatty Road",0,3,0,7,1,58,13,0,0,2,1,0,0,0,0,0,0,85,2
"Port Waikato","Pukekohe","Revive Church, 14 Belgium Road",0,0,0,1,0,2,2,2,0,1,0,0,0,0,0,0,0,8,0
"Port Waikato","Pukekohe","St Joseph's Primary School, 94 Seddon Street",0,1,0,1,0,12,2,1,1,0,0,0,0,0,0,1,0,19,0
"Port Waikato","Pukekohe","Valley School, 42 East Street",0,1,0,1,0,10,1,0,0,0,1,0,0,0,0,0,0,14,0
"Port Waikato","Pukeoware","Pukeoware School, 479 Baldhill Road",0,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,6,0
"Port Waikato","Puni","Puni School, 357 Waiuku Road",0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,7,0
"Port Waikato","Rangiriri","Rangiriri School, 39 Rangiriri Road",0,1,0,0,0,8,2,0,0,1,0,0,0,0,0,0,0,12,0
"Port Waikato","Te Kauwhata","Te Kauwhata College, 64/50 Waerenga Road",0,1,0,0,0,15,1,2,1,3,0,0,0,0,0,0,0,23,0
"Port Waikato","Te Kohanga","Te Kohanga School, 976 Tuakau-Port Waikato Main Road",0,1,1,1,0,21,0,1,0,1,0,0,0,0,0,1,0,27,0
"Port Waikato","Tuakau","Tuakau Primary School, 6 School Road",0,2,0,0,2,7,2,1,0,0,0,0,0,0,0,0,0,14,0
"Port Waikato","Tuakau","Tuakau Town Hall, 70 George Street",1,2,1,3,1,55,8,1,0,2,0,0,0,0,0,0,0,74,0
"Port Waikato","Waiau Pa","Waiau Pa School, Events Centre, 571 Waiau Pa Road",1,0,0,0,0,6,3,2,0,1,0,0,0,0,0,0,0,13,1
"Port Waikato","Waikaretu","Waikaretu School, 1448 Waikaretu Valley Road",0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,7,1
"Port Waikato","Waipipi","Waipipi School, 100 Creamery Road",3,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,8,0
"Port Waikato","Waiuku","Sandspit Road School, 60 Sandspit Road",0,0,0,0,0,10,1,1,0,1,0,0,0,0,0,0,0,13,0
"Port Waikato","Waiuku","View Road School, 16 View Road",0,0,2,0,0,14,1,0,0,0,0,0,0,0,0,0,0,17,0
"Port Waikato","Waiuku","Waiuku College, 43 Constable Road",0,0,0,2,0,6,1,1,0,1,0,0,0,0,0,1,1,13,1
"Port Waikato","Waiuku","Waiuku Netball Centre, Kitchener Road",1,1,0,0,0,36,6,0,0,1,0,0,0,0,0,0,0,45,1
"Port Waikato","Waiuku","Waiuku Primary School, George Street",2,0,0,2,0,21,1,2,0,1,0,0,0,0,0,0,0,29,1
"Taranaki-King Country","Horotiu","Horotiu School, 89 Horotiu Bridge Road",1,1,0,3,0,11,1,0,0,2,0,0,0,0,0,1,0,20,0
"Taranaki-King Country","Kawhia","Kawhia Community Hall, 141 Jervois Street",0,0,0,3,0,31,3,1,0,3,0,0,0,0,0,0,0,41,2
"Taranaki-King Country","Kihikihi","Kihikihi Town Hall, 26 Lyon Street",3,2,0,4,0,23,6,8,0,2,0,0,0,0,0,0,0,48,2
"Taranaki-King Country","Koromatua","Koromatua School, 355 Koromatua Road",0,0,0,0,0,4,2,1,0,1,1,0,0,0,0,0,0,9,1
"Taranaki-King Country","Ngāhinapōuri","Ngahinapouri Hall, 1185 Kakaramea Road",1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,6,0
"Taranaki-King Country","Ōhaupō","Ōhaupō Community Sport & Recreation Centre, 17 Forkert Road",0,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,8,0
"Taranaki-King Country","Pirongia","Pirongia School, 100 Beechey Street",1,0,0,0,0,3,2,1,3,1,0,1,0,0,0,0,1,13,0
"Taranaki-King Country","Raglan","Raglan Town Hall, 41 Bow Street",1,2,1,8,0,43,8,2,0,1,0,0,0,0,0,3,0,69,4
"Taranaki-King Country","Rotokauri","Rotokauri School, 462 Rotokauri Road",1,0,0,1,0,8,1,1,0,0,0,0,0,0,0,0,0,12,0
"Taranaki-King Country","Rukuhia","Rukuhia School Community Hall, 58 Rukuhia Road",1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,6,0
"Taranaki-King Country","Te Awamutu","Pekerau School, 742 Te Rahu Road",0,0,0,4,0,7,3,0,0,0,0,0,0,0,0,1,0,15,0
"Taranaki-King Country","Te Awamutu","Te Awamutu College Hall, 938 Alexandra Street",0,0,0,3,0,26,6,3,0,0,0,0,0,0,0,0,0,38,0
"Taranaki-King Country","Te Awamutu","Te Awamutu Intermediate School, 646 Hazelmere Crescent",0,0,0,2,0,15,1,0,0,1,0,0,0,0,0,0,0,19,0
