"Electorate","Place","Address","Type","ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Green Party","Internet Party","Labour Party","MANA","Māori Party","National Party","New Zealand First Party","New Zealand People's Party","NZ Outdoors Party","The Opportunities Party (TOP)","United Future","Total Valid Party Votes","Informal Party Votes"
"Botany","Manukau","Westfield Manukau, Amersham Way Entrance, Amersham Way","Advance",2,0,0,0,0,5,0,122,0,2,98,12,0,0,2,0,243,4
"Botany","Meadowlands","Auckland Fijian Methodist Church, 128 Whitford Road","Advance",7,4,0,2,0,23,2,240,0,5,1105,85,1,0,8,1,1483,6
"Botany","Mt Eden","University of Auckland, Epsom Campus, Music Auditorium, 74 Epsom Avenue (Gate 3)","Advance",0,0,0,0,0,1,0,2,0,0,7,0,0,0,0,0,10,0
"Botany","Otara Town Centre","Otara Library, Shop 5, 46 Fair Mall","Advance",0,1,0,0,0,0,0,77,0,6,7,5,0,0,0,0,96,0
"Botany","Pakuranga","Pakuranga Community Centre, 346 Pakuranga Road","Advance",0,1,0,0,0,1,0,9,0,0,52,3,0,0,2,0,68,0
"Botany","Pakuranga","Pakuranga Recreation & Youth Centre, 13c Reeves Road","Advance",0,0,0,1,0,1,0,33,0,1,75,11,0,0,1,0,123,0
"Botany","Whitford","Whitford Hall, 1 Whitford-Maraetai Road","Advance",0,0,0,0,0,0,0,1,0,1,12,1,0,0,0,0,15,0
"Botany","Whitford","Hospital & Rest Homes Team - Taken in Botany","Advance",3,0,0,1,0,7,0,158,0,1,463,42,2,0,0,1,678,4
"Botany","Whitford","Middlemore Hospital Team","Advance",0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,8,0
"Botany","Botany","Elim Christian College, Junior Campus, 94 Golfland Drive","Regular",10,0,0,4,0,12,0,136,0,1,389,32,0,0,3,1,588,2
"Botany","Botany Downs","Botany Downs Primary School, 35 Mirrabooka Avenue","Regular",3,0,0,0,0,30,0,180,0,0,400,56,0,0,4,0,673,2
"Botany","Botany Downs","Botany Downs Secondary College, 575 Chapel Road","Regular",11,3,0,5,0,41,1,388,0,7,1040,73,2,0,13,1,1585,4
"Botany","Botany Downs","Elim Christian Centre, 159 Botany Road","Regular",4,0,1,5,0,18,0,179,0,3,469,71,0,1,7,0,758,1
"Botany","Botany Downs","St Columba Presbyterian Church, 480 Ti Rakau Drive","Regular",0,1,0,0,0,8,0,58,0,1,168,17,0,0,5,1,259,1
"Botany","Botany South","Sancta Maria College, 319 Te Irirangi Drive","Regular",4,1,0,0,0,12,1,235,0,4,375,23,1,0,2,0,658,4
"Botany","Burswood","East City Wesleyan Church, 219 Burswood Drive","Regular",4,2,0,2,0,6,0,99,0,0,223,25,0,0,4,0,365,1
"Botany","Chapel Downs","Chapel Downs Primary School, 170 Dawson Road","Regular",1,0,0,1,0,9,0,267,0,6,152,13,1,0,1,0,451,1
"Botany","Cockle Bay","Cockle Bay Playcentre, 17 Pah Road","Regular",5,1,0,2,0,24,0,85,0,2,309,37,0,1,8,0,474,0
"Botany","Dannemora","Point View Primary School, 25 Kilkenny Drive","Regular",10,0,1,1,0,40,0,186,0,3,923,49,3,0,14,2,1232,0
"Botany","Dannemora","Willowbank School, 56 Middlefield Drive","Regular",5,1,0,8,0,18,1,248,0,7,697,49,1,1,5,0,1041,3
"Botany","Flat Bush","Baverstock Oaks School, 21 Baverstock Road","Regular",2,2,0,3,0,12,0,225,0,5,654,29,4,0,6,0,942,3
"Botany","Flat Bush","Dawson Primary School, 15 Haumia Way","Regular",0,2,0,1,0,3,0,325,0,6,38,16,0,0,0,0,391,2
