"Electorate","Place","Address","Type","ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Green Party","Internet Party","Labour Party","MANA","Māori Party","National Party","New Zealand First Party","New Zealand People's Party","NZ Outdoors Party","The Opportunities Party (TOP)","United Future","Total Valid Party Votes","Informal Party Votes"
"Ikaroa-Rāwhiti","Lower Hutt","War Memorial Library, corner Queens Drive & Woburn Road","Advance",0,1,0,0,0,4,0,35,0,4,1,2,0,0,2,0,49,0
"Ikaroa-Rāwhiti","Petone","Petone Community Library, 7-11 Britannia Street","Advance",0,0,0,0,0,1,0,30,0,2,0,4,0,0,2,0,39,0
"Ikaroa-Rāwhiti","Wainuiomata","Wainuiomata Community Hub, 1 Queen Street","Advance",1,0,1,0,0,17,0,308,1,45,5,36,1,0,7,0,422,8
"Ikaroa-Rāwhiti","Wainuiomata","Hospital & Rest Homes Team - Taken in Hutt South","Advance",0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,7,0
"Ikaroa-Rāwhiti","Wainuiomata","Rest Homes Team - Taken in Napier","Advance",0,0,0,0,0,0,0,5,0,1,2,2,0,0,0,0,10,0
"Ikaroa-Rāwhiti","Marewa","Marewa Shopping Centre (Old ANZ Bank), 106A Kennedy Road","Advance",0,2,0,0,0,23,0,466,3,94,22,31,1,0,2,0,644,5
"Ikaroa-Rāwhiti","Napier","Dundas House, 43 Station Street","Advance",1,3,0,0,0,25,0,200,3,26,15,17,0,0,5,0,295,2
"Ikaroa-Rāwhiti","Taradale","EIT Cafeteria and Student Association, 501 Gloucester Street","Advance",0,1,0,0,0,5,0,57,1,22,1,5,0,0,1,0,93,0
"Ikaroa-Rāwhiti","Taradale","Taradale Town Hall, corner Meeanee & Lee Roads","Advance",0,1,0,0,0,14,0,194,2,55,25,25,0,0,5,0,321,1
"Ikaroa-Rāwhiti","Wairoa","Wairoa Memorial Hall, 93 Queen Street","Advance",0,6,2,0,0,29,1,517,3,89,6,40,1,0,4,0,698,9
"Ikaroa-Rāwhiti","Wairoa","Prisons Team - Taken in Rimutaka","Advance",0,1,0,0,0,0,0,7,0,3,1,0,0,0,0,0,12,0
"Ikaroa-Rāwhiti","Naenae","Shop 5, Hillary Court","Advance",0,2,0,0,0,8,0,175,2,25,4,16,1,0,2,0,235,5
"Ikaroa-Rāwhiti","Silverstream","Zap Hall, 246-248 Fergusson Drive","Advance",0,1,0,0,0,4,0,14,0,2,0,4,0,0,2,0,27,1
"Ikaroa-Rāwhiti","Stokes Valley","Risk Church, 19-23 Evans Street","Advance",0,2,0,2,0,4,0,72,2,7,3,6,0,0,2,0,100,2
"Ikaroa-Rāwhiti","Taita","Walter Nash Centre, 20-22 Taine Street","Advance",0,2,0,0,0,12,0,130,2,21,5,7,0,0,2,0,181,2
"Ikaroa-Rāwhiti","Upper Hutt","City Mall, Mezzanine Floor (former gym), 237 Main Street","Advance",1,4,0,2,0,14,0,194,3,25,18,32,1,0,6,0,300,5
"Ikaroa-Rāwhiti","Upper Hutt","Hospital & Rest Homes Team - Taken in Rimutaka","Advance",1,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,7,0
"Ikaroa-Rāwhiti","Upper Hutt","Mobile Team 1 - Rest Homes - Taken in Tukituki","Advance",0,0,0,0,0,0,0,5,0,6,1,1,0,0,1,0,14,1
"Ikaroa-Rāwhiti","Flaxmere","Flaxmere Community Centre, 30 Swansea Road","Advance",0,6,0,0,0,14,0,536,12,80,12,35,1,0,4,0,700,12
"Ikaroa-Rāwhiti","Flaxmere","Te Aranga Marae, 18 Boston Crescent","Advance",0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,7,0
"Ikaroa-Rāwhiti","Hastings","Gracelands Retirement Village, 734 Pakowhai Road","Advance",0,0,1,0,0,0,0,3,0,2,0,0,1,0,0,0,7,0
"Ikaroa-Rāwhiti","Hastings Central","Electorate Headquarters, 209 Avenue Road East","Advance",1,2,0,0,0,30,0,384,2,79,31,27,1,0,12,0,569,2
"Ikaroa-Rāwhiti","Havelock North","Havelock North Function Centre, 30 Te Mata Road","Advance",1,2,0,0,0,6,0,72,1,24,10,9,1,0,3,0,129,1
"Ikaroa-Rāwhiti","Mahora","Jireh Hall, St Johns Presbyterian Church, 608 Frederick Street","Advance",0,0,0,0,0,8,0,147,3,32,9,17,1,0,4,0,221,0
