"Electorate","Place","Address","Type","ACT New Zealand","Advance NZ","Aotearoa Legalise Cannabis Party","Green Party","HeartlandNZ","Labour Party","Māori Party","National Party","New Conservative","New Zealand First Party","NZ Outdoors Party","ONE Party","Social Credit","Sustainable New Zealand Party","TEA Party","The Opportunities Party (TOP)","Vision New Zealand","Total Valid Party Votes","Informal Party Votes"
"Tauranga","Bethlehem","Bethlehem Town Centre #3, 19 Bethlehem Road","Regular",8,2,0,6,0,33,1,38,3,5,0,0,0,1,0,3,0,100,3
"Tauranga","Bethlehem","Bethlehem Town Centre (between The Coffee Club & Columbus Coffee), 19 Bethlehem Road","Regular",27,1,1,18,0,56,0,86,15,11,0,2,0,0,0,3,0,220,2
"Tauranga","Bethlehem","Bethlehem Town Centre (by Hammer Hardware), 19 Bethlehem Rd","Regular",17,5,1,6,0,69,1,69,6,7,0,0,0,0,0,4,1,186,2
"Tauranga","Brookfield","Brookfield School, 20 Millers Road","Regular",24,7,0,31,0,198,2,123,31,37,0,3,0,0,0,9,1,466,2
"Tauranga","Gate Pa","Gate Pa School, 900 Cameron Rd","Regular",14,2,1,12,0,94,1,55,5,16,0,1,0,0,0,0,0,201,3
"Tauranga","Greerton","Greenpark School, 13 Lumsden Street","Regular",27,4,0,13,0,147,4,110,7,17,0,0,2,0,0,11,0,342,1
"Tauranga","Greerton","Greerton Bible Church Hall, Cnr Chadwick & Oropi Rd","Regular",20,4,0,5,0,55,1,34,4,12,0,1,0,0,0,3,0,139,1
"Tauranga","Greerton","Tauranga RSA, 1237 Cameron Rd","Regular",25,4,2,5,0,70,0,43,7,12,0,1,0,0,0,5,0,174,2
"Tauranga","Hairini","Baden Powell Centre, Ila Park, 46 Harrisfield Drive","Regular",1,0,0,0,0,5,0,4,2,0,0,0,0,0,0,0,1,13,0
"Tauranga","Katikati","Katikati War Memorial Hall, 29-31 Main Road","Regular",2,0,0,1,0,5,0,1,0,1,1,0,0,0,0,0,0,11,0
