"Electorate","Place","Address","Type","ACT New Zealand","Advance NZ","Aotearoa Legalise Cannabis Party","Green Party","HeartlandNZ","Labour Party","Māori Party","National Party","New Conservative","New Zealand First Party","NZ Outdoors Party","ONE Party","Social Credit","Sustainable New Zealand Party","TEA Party","The Opportunities Party (TOP)","Vision New Zealand","Total Valid Party Votes","Informal Party Votes"
"Auckland Central","Auckland City","159 Nelson Street, Corner Nelson & Union Streets","Advance",13,0,1,80,0,183,0,67,1,2,0,0,0,0,2,13,0,362,2
"Auckland Central","Auckland City","Aotea Centre, Limelight Rooms, 50 Mayoral Drive, Auckland CBD","Advance",56,3,4,446,0,712,5,246,9,20,1,1,0,6,3,57,1,1570,12
"Auckland Central","Auckland City","ASB Waterfront Theatre, 138 Halsey Street","Advance",57,2,0,57,0,132,3,127,3,7,0,0,0,3,0,13,0,404,1
"Auckland Central","Auckland City","Auckland Chinese Presbyterian Church, 105 Vincent Street","Advance",8,0,0,49,0,78,0,25,1,3,0,2,0,0,1,4,0,171,1
"Auckland Central","Auckland City","Level 3 Atrium on Elliot, Elliot Street","Advance",72,2,2,251,0,684,4,218,14,27,0,0,0,2,0,31,0,1307,8
"Auckland Central","Auckland City","Liston Hall, 30-32 Hobson Street","Advance",95,2,0,133,0,412,5,236,5,13,0,0,0,0,2,22,0,925,6
"Auckland Central","Auckland City","Pioneer Women's Hall, Ellen Melville Centre, 2 Freyberg Place","Advance",166,6,1,579,0,910,4,374,9,16,1,0,1,8,5,55,0,2135,0
"Auckland Central","Freemans Bay","Freemans Bay Primary School, 95 Wellington Street","Advance",29,0,0,104,0,200,0,63,1,4,0,0,0,0,0,11,0,412,0
"Auckland Central","Grafton","St David's Presbyterian Church Hall, 70 Khyber Pass Road","Advance",58,0,1,228,0,421,0,163,10,7,0,1,0,2,2,19,0,912,4
"Auckland Central","Grey Lynn","Grey Lynn Community Centre, 510 Richmond Road","Advance",34,3,0,109,0,275,0,151,2,9,0,0,0,0,0,14,0,597,3
"Auckland Central","Grey Lynn","Grey Lynn Library Hall, 474 Great North Road","Advance",26,1,1,127,0,178,0,81,1,4,0,0,0,0,0,6,0,425,0
"Auckland Central","Grey Lynn","Newton Central School, 15-19 Monmouth Street","Advance",1,0,0,20,0,27,0,4,2,1,0,0,0,0,0,0,0,55,0
"Auckland Central","Grey Lynn","Richmond Road School, 113 Richmond Road","Advance",14,0,0,54,0,64,0,35,0,0,0,0,0,0,0,3,0,170,1
"Auckland Central","Herne Bay","Bayfield School, 2 Clifton Road","Advance",55,3,0,70,0,155,1,169,0,12,0,0,0,0,0,6,0,471,0
"Auckland Central","Hobsonville Point","Catalina Bay (building opposite Farmers Market), Hobsonville Point, Hudson Bay Road Extension","Advance",2,0,1,4,0,5,0,4,0,0,0,0,0,0,0,1,0,17,0
"Auckland Central","Kingsland","Congregational Christian Church of Samoa, 50 Bond Street","Advance",16,1,1,95,0,106,1,26,1,3,0,0,0,0,0,2,0,252,0
"Auckland Central","Kingsland","Kowhai Intermediate School, 26 Onslow Road","Advance",6,0,0,20,0,34,0,18,0,2,0,0,0,0,1,3,0,84,0
"Auckland Central","Mt Albert","Ramblers Softball Club, 7 Cornwallis Street","Advance",1,0,0,7,0,18,0,10,0,3,0,0,0,0,0,0,0,39,0
"Auckland Central","Mt Albert","UNITEC, Te Puna, Building 180, 139 Carrington Road","Advance",0,0,0,7,0,7,0,2,0,0,0,0,0,0,0,0,0,16,0
"Auckland Central","Mt Eden","Auckland Grammar School Hockey Centre, 3/25 Normanby Road","Advance",13,2,0,47,0,67,0,16,0,3,0,0,0,0,0,1,0,149,0
"Auckland Central","Mt Eden","Food Stuffs Building (formerly Auckland Deaf Society), 164 Balmoral Road","Advance",0,0,0,3,0,12,0,3,0,0,0,0,0,0,0,1,0,19,0
"Auckland Central","Mt Eden","Mt Eden Normal Primary School, 73 Valley Road","Advance",0,0,1,19,0,38,0,9,0,0,0,0,0,1,0,0,0,68,0
"Auckland Central","Mt Eden","University of Auckland, Epsom Campus, Room B118, 74 Epsom Avenue (Gate 3)","Advance",0,0,0,1,0,11,0,1,0,1,0,0,0,0,0,0,0,14,0
"Auckland Central","Mt Eden","Valley Road International Church Hall, 393 Mt Eden Road","Advance",2,1,0,9,0,10,0,7,0,0,0,0,0,0,0,0,0,29,0
"Auckland Central","Newmarket","Newmarket Mall, S212, Level 2, 309 Broadway","Advance",45,0,2,116,0,317,0,153,4,7,0,1,0,0,0,18,0,663,2
"Auckland Central","Northcote","AUT North Campus, AF113A, 90 Akoranga Drive","Advance",0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,7,0
"Auckland Central","Parnell","Parnell Community Centre, Parnell Room, 545 Parnell Road","Advance",13,0,0,56,0,101,1,53,2,3,0,0,0,0,0,6,1,236,1
"Auckland Central","Parnell","Parnell District School Hall, 48 St Stephens Avenue","Advance",15,0,1,15,0,56,0,42,1,1,0,0,0,0,1,9,0,141,0
"Auckland Central","Point Chevalier","Church@onetwosix Hall, 126 Point Chevalier Road","Advance",8,0,0,10,0,21,0,19,0,1,0,0,0,0,0,0,0,59,2
"Auckland Central","Ponsonby","All Saints Anglican Church, 284 Ponsonby Road","Advance",427,9,2,649,0,1655,8,1074,12,48,1,2,3,4,1,43,0,3938,16
"Auckland Central","Ponsonby","Ponsonby Primary School, 44 Curran Street","Advance",26,0,0,32,0,70,0,66,0,1,0,0,0,0,1,1,0,197,1
"Auckland Central","Remuera","Remuera Bowling Club, 5 Dromorne Road","Advance",2,0,0,1,0,5,0,7,0,0,0,0,0,0,0,1,0,16,0
"Auckland Central","Remuera","St Mark's Church Hall, 95 Remuera Road","Advance",4,0,0,6,0,17,0,4,0,0,0,0,0,0,1,0,0,32,0
"Auckland Central","Waiheke Island","Waiheke High School, 11 Donald Bruce Road","Advance",16,4,0,35,0,135,1,33,0,0,0,0,0,0,0,4,0,228,1
"Auckland Central","Waiheke Island","Waiheke Library, 131 Ocean View Road","Advance",221,39,15,608,0,2011,4,540,17,92,3,2,1,2,0,25,0,3580,15
"Auckland Central","Auckland City","159 Nelson Street, Corner Nelson & Union Streets","Regular",3,0,0,14,0,55,0,34,2,2,0,0,0,0,0,3,0,113,2
"Auckland Central","Auckland City","Aotea Centre, Limelight Rooms, 50 Mayoral Drive, Auckland CBD","Regular",17,1,0,39,0,109,1,54,4,4,0,0,0,0,0,8,0,237,1
"Auckland Central","Auckland City","Auckland Chinese Presbyterian Church, 105 Vincent Street","Regular",3,0,0,4,0,32,0,10,1,0,0,0,0,1,1,0,0,52,1
"Auckland Central","Auckland City","Auckland High Court, 24 Waterloo Quadrant (corner Waterloo Quadrant & Parliament Street)","Regular",30,0,0,75,0,190,0,88,4,8,0,0,0,2,1,23,0,421,2
"Auckland Central","Auckland City","Level 3 Atrium on Elliot, Elliot Street","Regular",9,0,0,10,0,54,0,38,1,4,0,0,0,0,0,1,0,117,1
"Auckland Central","Auckland City","Liston Hall, 30-32 Hobson Street","Regular",24,4,0,26,0,75,0,72,1,8,0,0,0,0,0,6,0,216,2
"Auckland Central","Auckland City","Methodist Church, Wesley Hall, 78 Pitt Street","Regular",21,0,0,40,0,106,0,37,3,4,0,0,0,0,0,5,0,216,1
"Auckland Central","Auckland City","Pioneer Women's Hall, Ellen Melville Centre, 2 Freyberg Place","Regular",29,0,1,46,0,113,0,58,0,3,0,0,0,0,0,11,1,262,4
"Auckland Central","Freemans Bay","Freemans Bay Primary School, 95 Wellington Street","Regular",29,0,0,66,1,125,2,63,0,6,0,1,0,0,0,6,0,299,0
"Auckland Central","Grafton","St David's Presbyterian Church Hall, 70 Khyber Pass Road","Regular",32,1,0,47,0,108,1,60,1,3,0,0,0,0,0,16,1,270,1
"Auckland Central","Great Barrier Island","Aotea Community Art Gallery, Schoolmaster's House, 80 Hector Sanderson Road","Regular",9,14,1,27,0,90,0,41,3,11,0,0,0,1,0,5,0,202,1
"Auckland Central","Great Barrier Island","Aotea Health, Nurses Cottage, 2077 Aotea Road","Regular",4,0,0,8,0,28,0,8,0,3,0,0,0,0,0,1,0,52,0
"Auckland Central","Great Barrier Island","Okiwi School, 1606-1608 Aotea Road","Regular",2,0,0,6,0,16,1,5,0,1,0,0,0,1,0,0,0,32,0
"Auckland Central","Great Barrier Island","Tryphena Mulberry Grove School, 271 Shoal Bay Road","Regular",10,8,0,27,0,100,1,23,1,5,2,0,0,0,1,0,0,178,4
"Auckland Central","Great Barrier Island","Grey Lynn Community Centre, 510 Richmond Road","Regular",2,1,0,8,0,27,1,10,0,0,0,0,0,0,0,3,0,52,0
"Auckland Central","Great Barrier Island","Grey Lynn Library Hall, 474 Great North Road","Regular",3,0,0,5,0,8,1,17,0,0,0,0,0,0,0,0,0,34,0
"Auckland Central","Great Barrier Island","Newton Central School, 15-19 Monmouth Street","Regular",6,1,0,25,0,33,0,9,1,1,0,0,0,0,0,3,0,79,0
"Auckland Central","Great Barrier Island","Richmond Road School, 113 Richmond Road","Regular",16,0,0,36,0,81,0,43,0,9,0,0,0,1,0,8,0,194,0
"Auckland Central","Great Barrier Island","St Columba Church and Community Hall, 92 Surrey Crescent","Regular",0,0,0,3,0,7,0,1,1,1,0,0,0,0,0,0,0,13,0
"Auckland Central","Herne Bay","Bayfield School, 2 Clifton Road","Regular",72,2,0,56,0,236,0,266,1,10,0,0,0,0,0,12,0,655,2
"Auckland Central","Kingsland","Congregational Christian Church of Samoa, 50 Bond Street","Regular",1,1,0,13,0,20,0,13,1,5,0,0,0,0,0,3,0,57,0
"Auckland Central","Kingsland","Kowhai Intermediate School, 26 Onslow Road","Regular",3,1,0,7,0,28,0,10,0,1,0,0,0,1,0,0,0,51,0
"Auckland Central","Mt Eden","Auckland Grammar School Hockey Centre, 3/25 Normanby Road","Regular",1,0,1,2,0,11,0,6,0,0,0,0,0,0,0,0,0,21,0
"Auckland Central","Mt Eden","Mt Eden Normal Primary School, 73 Valley Road","Regular",1,1,0,0,0,12,0,7,0,0,0,0,0,0,0,1,0,22,0
"Auckland Central","Mt Eden","Valley Road International Church Hall, 393 Mt Eden Road","Regular",2,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,7,0
"Auckland Central","Newmarket","Newmarket Mall, S212, Level 2, 309 Broadway","Regular",6,0,0,10,0,31,0,13,0,0,0,0,0,1,0,1,0,62,0
"Auckland Central","Newton","Unitarian Church Hall, 1A Ponsonby Road","Regular",10,0,0,33,0,58,0,29,1,0,0,0,0,1,0,3,0,135,0
"Auckland Central","Parnell","Parnell Community Centre, Jubilee Hall, 545 Parnell Road","Regular",7,0,0,3,0,11,1,11,0,0,0,0,0,0,0,1,0,34,0
"Auckland Central","Parnell","Parnell District School Hall, 48 St Stephens Avenue","Regular",9,0,0,4,0,26,0,19,1,0,0,0,0,0,0,2,0,61,0
"Auckland Central","Point Chevalier","Church@onetwosix Hall, 126 Point Chevalier Road","Regular",0,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,0,8,0
"Auckland Central","Ponsonby","All Saints Anglican Church, 284 Ponsonby Road","Regular",63,3,1,102,0,289,5,211,0,15,0,0,0,2,0,10,1,702,2
"Auckland Central","Ponsonby","Ponsonby Primary School, 44 Curran Street","Regular",44,0,0,18,0,68,0,102,0,1,0,0,0,0,0,4,0,237,0
"Auckland Central","Ponsonby","St Mary's College, 11 New Street","Regular",27,0,1,20,0,96,1,106,1,7,0,1,0,2,0,5,0,267,1
"Auckland Central","Waiheke Island","Ōmiha Memorial Hall, 2 Glen Brook Road","Regular",7,3,0,15,0,66,1,26,0,5,0,0,0,0,0,0,0,123,0
"Auckland Central","Waiheke Island","Onetangi Residents Association Hall, Corner Waiheke Road & Third Avenue","Regular",22,1,0,36,0,103,1,45,4,12,1,0,0,0,0,3,0,228,1
"Auckland Central","Waiheke Island","Ostend Memorial Hall, 76 Ostend Road","Regular",12,10,3,35,0,134,0,42,1,11,0,0,0,0,0,3,0,251,1
"Auckland Central","Waiheke Island","Palm Beach Hall, 74 Palm Road","Regular",7,0,0,26,0,66,0,29,0,6,1,0,0,0,0,1,0,136,2
"Auckland Central","Waiheke Island","Surfdale Community Hall, 6 Hamilton Road","Regular",6,2,0,20,0,49,0,10,1,2,0,0,0,1,0,1,0,92,0
"Auckland Central","Waiheke Island","Waiheke High School, 11 Donald Bruce Road","Regular",6,2,1,16,0,42,0,21,0,4,0,2,0,0,0,3,0,97,0
"Auckland Central","Waiheke Island","Waiheke Library, 131 Ocean View Road","Regular",16,3,1,38,0,132,1,60,0,14,0,0,0,1,0,3,1,270,1
"Auckland Central","Waiheke Island","Waiheke Resources Trust, Mako Street","Regular",6,0,0,12,0,31,0,13,0,1,0,0,0,0,0,3,0,66,0
"Auckland Central","Westmere","Hawke Sea Scouts Hall, 55 West End Road","Regular",7,0,0,14,0,18,0,15,0,1,0,0,0,0,0,1,0,56,0
"Auckland Central","Westmere","Westmere School, 81 Garnet Road","Regular",2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0
"Auckland Central",NA,"Overseas Special Votes Including Defence Force - Auckland Central","Special",122,15,1,597,0,1110,5,288,8,16,1,0,0,4,0,60,0,2227,5
"Auckland Central",NA,"Overseas Votes Allowed for Party Only - Auckland Central","Special",0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,7,0
"Auckland Central",NA,"Special Votes BEFORE Polling Day - Auckland Central","Special",315,29,21,882,0,2234,24,917,33,86,1,4,1,8,6,119,1,4681,27
"Auckland Central",NA,"Special Votes ON Polling Day - Auckland Central","Special",187,12,23,361,0,1168,14,613,21,56,1,3,1,3,4,63,4,2534,16
"Auckland Central",NA,"Votes Allowed for Party Only - Auckland Central","Special",13,5,11,52,0,208,13,83,5,5,2,0,0,0,2,6,0,405,6
"Auckland Central",NA,"Voting places where less than 6 votes were taken","Special",0,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,6,0
"Banks Peninsula","Addington","Addington School, Entrance off Somerset Crescent","Advance",1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,7,0
"Banks Peninsula","Akaroa","Akaroa Fire Station, 49 Beach Road","Advance",36,11,3,53,0,274,1,162,2,8,0,0,0,0,0,3,0,553,3
"Banks Peninsula","Beckenham","Beckenham Te Kura o Pūroto (School Hall), 71 Sandwich Road","Advance",5,0,0,5,0,10,0,8,0,0,0,0,0,0,0,1,0,29,0
"Banks Peninsula","Beckenham","St Peter's Parish Centre Hall, 11 Fisher Avenue","Advance",4,0,0,10,0,19,0,5,0,1,0,0,0,0,0,0,0,39,0
"Banks Peninsula","Bromley","Bromley School Hall, 33 Keighleys Road","Advance",1,0,0,1,0,28,0,5,0,1,0,0,0,0,0,0,0,36,0
"Banks Peninsula","Cashmere","Cashmere Primary School Hall, 135 Hackthorne Road","Advance",25,0,0,24,0,68,0,29,0,0,0,0,0,0,0,3,0,149,1
"Banks Peninsula","Cashmere","South Christchurch Library, 66 Colombo Street","Advance",257,21,1,789,1,2172,3,894,47,65,1,1,0,1,0,68,0,4321,10
"Banks Peninsula","Central City","Aldersgate Centre (Garden Entrance), 309 Durham Street North","Advance",4,0,0,8,0,14,0,9,0,0,0,0,0,0,0,0,0,35,0
"Banks Peninsula","Central City","Ara Institute of Canterbury (Rakaia Building), 130 Madras Street","Advance",12,0,2,60,0,122,3,25,3,6,0,0,0,0,0,11,0,244,0
"Banks Peninsula","Central City","Arts Centre (Maker Workshop), Corner Rolleston Ave & Hereford Street","Advance",15,0,0,43,0,101,1,27,0,1,1,0,0,0,0,10,0,199,1
"Banks Peninsula","Central City","Christchurch Public Hospital Great Escape Café, Level 1, 2 Riccarton Avenue","Advance",17,0,0,54,0,214,1,55,5,3,0,1,0,1,0,9,0,360,1
"Banks Peninsula","Central City","South City Shopping Mall, 555 Colombo Street","Advance",67,9,1,127,0,506,1,197,10,23,0,0,1,0,1,29,0,972,3
"Banks Peninsula","Central City","Transitional Cathedral, 234 Hereford Street","Advance",1,0,0,6,0,22,0,5,0,0,0,0,0,0,0,1,0,35,0
"Banks Peninsula","Central City","Tūranga Library (Spark Place Ground floor), 60 Cathedral Square","Advance",21,0,0,94,0,154,1,33,3,4,1,0,0,0,0,13,0,324,0
"Banks Peninsula","Christchurch","Rest Homes 1 - Taken in Banks Peninsula, 46 Birmingham Drive","Advance",2,0,0,7,0,104,0,33,2,5,0,0,1,0,0,2,0,156,11
"Banks Peninsula","Cracroft","Christchurch Adventure Park, 225 Worsleys Road","Advance",29,0,0,56,0,128,0,49,4,6,1,0,1,0,0,7,0,281,0
"Banks Peninsula","Diamond Harbour","Diamond Harbour Community Hall, 2A Waipapa Avenue","Advance",13,3,0,52,0,92,0,19,2,1,0,0,0,0,0,7,0,189,2
"Banks Peninsula","Halswell","Aidanfield Christian School, 2 Nash Road","Advance",2,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,12,0
"Banks Peninsula","Halswell","Halswell School Hall, Corner Kennedys Bush & School Roads","Advance",25,3,0,15,0,110,0,51,2,6,0,0,0,0,0,2,0,214,3
"Banks Peninsula","Halswell","Knights Stream School, 1 Killarney Avenue","Advance",1,0,0,3,0,10,0,0,1,0,0,0,0,0,0,0,0,15,0
"Banks Peninsula","Halswell","Saint Peter & Paul's Church Hall Halswell (formerly Our Lady of the Apostles), 56 Nicholls Road","Advance",20,0,0,17,0,108,1,65,3,9,0,0,0,0,0,6,0,229,1
"Banks Peninsula","Halswell","St Mary's Anglican Church Hall, 329 Halswell Road","Advance",13,1,0,13,0,39,0,27,5,1,0,0,0,0,0,4,0,103,1
"Banks Peninsula","Halswell","Te Hāpua: Halswell Centre, Piharau Room, 341 Halswell Road","Advance",314,28,11,331,0,1954,10,1029,69,69,4,0,0,2,2,68,1,3892,25
"Banks Peninsula","Harewood","Business Park, 100 Orchard Road","Advance",3,1,0,2,0,17,0,9,1,0,0,0,0,0,0,2,0,35,0
"Banks Peninsula","Heathcote Valley","Heathcote Valley School Hall, 61 Bridle Path Road","Advance",10,0,0,29,0,107,0,35,3,2,0,0,0,0,0,0,0,186,1
"Banks Peninsula","Hoon Hay","Spreydon School, 50 Hoon Hay Road entrance","Advance",1,2,0,4,0,12,0,2,0,0,0,0,0,0,0,0,0,21,0
"Banks Peninsula","Hornby","The Hub Hornby Shop 56 (opposite Pascoes), 418 Main South Road","Advance",20,0,2,23,0,126,0,60,3,7,0,0,0,0,0,8,0,249,0
"Banks Peninsula","Ilam","University Canterbury, Student Association Haere-Roa, Ilam Road","Advance",1,0,0,22,0,17,0,8,1,0,0,0,0,0,0,3,0,52,0
"Banks Peninsula","Ilam","University of Canterbury, James Hight Library, Ilam Campus, Ilam Road","Advance",11,1,0,106,0,124,1,37,2,3,0,0,0,1,0,18,0,304,3
"Banks Peninsula","Le Bons Bay","Le Bons Bay Community Hall, Le Bons Bay Domain","Advance",18,1,0,30,0,32,1,42,0,0,0,0,0,0,0,0,0,124,0
"Banks Peninsula","Lincoln","Lincoln Event Centre, 15 Meijer Drive","Advance",4,3,0,8,0,25,0,19,0,2,0,0,0,0,0,1,0,62,0
"Banks Peninsula","Lincoln","Lincoln University, George Forbes Memorial Library, Corner Ellesmere Junction & Springs Roads","Advance",2,0,0,17,0,17,0,11,0,0,0,0,0,0,0,4,0,51,1
"Banks Peninsula","Linwood","Eastgate Mall, Upper Level, 20 Buckleys Road","Advance",53,18,7,127,0,1090,2,173,24,35,0,7,2,0,0,17,0,1555,16
"Banks Peninsula","Linwood","Linwood Avenue School Hall, 260 Linwood Avenue","Advance",1,0,0,2,0,22,0,1,0,1,0,0,0,0,0,1,0,28,0
"Banks Peninsula","Lower Cashmere","Thorrington School Hall, 22A Colombo Street","Advance",5,0,0,12,0,37,0,17,0,3,0,0,0,0,0,1,0,75,0
"Banks Peninsula","Lyttelton","Lyttelton Fire Station, 59 London Street","Advance",49,10,0,374,0,754,6,103,0,25,0,0,0,2,1,17,0,1341,3
"Banks Peninsula","Lyttelton","Lyttelton Primary School Office, 34 Oxford Street","Advance",1,0,0,11,0,32,0,3,1,2,0,0,0,0,0,0,0,50,0
"Banks Peninsula","Mount Pleasant","Mt Pleasant Community Centre, 3 McCormacks Bay Road","Advance",264,22,2,424,0,1328,5,786,16,42,2,1,0,6,0,40,1,2939,9
"Banks Peninsula","Mount Pleasant","Mt Pleasant School Hall, 82 Major Hornbrook Road","Advance",9,0,0,11,0,45,0,30,0,1,0,0,0,0,0,0,0,96,0
"Banks Peninsula","New Brighton","New Brighton Library - Pier, 213 Marine Parade","Advance",2,0,0,9,0,49,0,10,0,2,0,2,0,0,0,0,0,74,0
"Banks Peninsula","Northwood","Northwood Supa Centa (old Caesars Restaurant), 1 Radcliffe Rd","Advance",1,0,0,2,0,11,0,3,0,0,1,0,0,0,0,0,0,18,0
"Banks Peninsula","Papanui","Northlands Mall, near Farmers, 55 Main North Road","Advance",5,0,0,7,0,46,2,12,0,0,0,1,0,1,0,1,0,75,0
"Banks Peninsula","Papanui","Northlands Mall, Sissons Road Car Park (opposite ASB), 55 Main North Road","Advance",5,0,0,5,0,40,1,17,1,1,0,1,0,0,0,1,0,72,1
"Banks Peninsula","Rāpaki","Rāpaki Marae, 37 Rapaki Drive","Advance",6,0,0,21,0,20,0,12,0,1,0,0,0,0,0,1,0,61,0
"Banks Peninsula","Riccarton","Westfield Mall Riccarton, Level 2, 129 Riccarton Road","Advance",31,2,0,64,0,274,1,115,3,5,0,2,0,1,1,8,0,507,1
"Banks Peninsula","Riccarton","Wharenui School Hall, 32 Matipo Street","Advance",0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,1,0,8,0
"Banks Peninsula","Shirley","The Palms Mall - Shop (beside Food Court), Corner Marshland & New Brighton Roads","Advance",11,2,2,23,0,156,1,35,2,7,1,0,1,0,0,4,0,245,0
"Banks Peninsula","Somerfield","Pioneer Recreation & Sport Centre Lounge, 1st Floor, 75 Lyttelton Street","Advance",94,10,3,218,0,769,3,311,21,29,1,4,0,0,0,29,1,1493,5
"Banks Peninsula","Somerfield","Somerfield School Hall, 42 Studholme Street","Advance",8,0,0,18,0,39,0,17,3,5,0,0,0,0,0,2,0,92,0
"Banks Peninsula","Spreydon","Barrington Mall Shop (former NZ Post shop), 256 Barrington Street","Advance",116,10,2,174,2,938,5,398,32,28,0,1,1,3,1,37,0,1748,4
"Banks Peninsula","Spreydon","Christchurch South Intermediate Hall, 204 Selwyn Street","Advance",1,0,0,3,0,26,0,5,0,1,0,0,0,0,0,2,0,38,0
"Banks Peninsula","St Martins","Hillview Christian Junior School, 150 Wilsons Road","Advance",15,2,0,32,0,86,0,29,3,9,0,0,0,2,0,5,0,183,2
"Banks Peninsula","St Martins","St Martins School Hall, 24 Albert Terrace (opposite Roscoe Street)","Advance",7,2,0,55,0,103,0,17,3,0,0,0,0,0,0,3,0,190,0
"Banks Peninsula","Sumner","Sumner Centre (Matuku Takotako), Corner Nayland Street & Wakefield Avenue","Advance",133,15,3,370,0,942,5,414,11,19,2,2,1,0,0,34,1,1952,7
"Banks Peninsula","Sumner","Sumner School, 21 Colenso Street (Dryden Street West entrance)","Advance",3,0,0,7,0,26,0,19,1,1,0,0,0,0,0,4,0,61,0
"Banks Peninsula","Sydenham","Powell Fenwick Building, 383 Colombo Street","Advance",43,4,2,76,0,220,1,103,1,8,0,1,0,1,0,9,0,469,0
"Banks Peninsula","Tai Tapu","Tai Tapu School, Corner School Road & Main Akaroa Highway","Advance",5,0,0,3,0,7,0,5,1,0,0,0,0,0,0,0,0,21,0
"Banks Peninsula","Tower Junction","Tower Junction Shop, next to EZIBUY, Whiteleigh Avenue","Advance",33,4,0,45,0,220,0,91,1,5,0,2,0,0,0,7,0,408,4
"Banks Peninsula","Upper Riccarton","Bush Inn Centre (Old Post Shop), Corner Riccarton & Waimairi Roads","Advance",3,1,0,8,0,48,0,35,1,1,0,0,0,0,0,3,0,100,0
"Banks Peninsula","Upper Riccarton","Upper Riccarton Community & School Library, 71 Main South Road","Advance",7,0,0,7,0,17,0,13,0,0,0,0,0,0,0,0,0,44,0
"Banks Peninsula","Waltham","Canterbury Mineral and Lapidary Club, 110 Waltham Road","Advance",0,0,0,1,0,6,0,2,0,0,0,0,0,0,0,0,0,9,0
"Banks Peninsula","Wigram","The Landing, Shop 12 (opposite Joe's Garage), The Runway","Advance",31,3,1,30,1,155,0,89,2,6,0,2,0,1,0,6,0,327,1
"Banks Peninsula","Woolston","Ara Woolston Campus, Student Services Building, Corner Ensors Road & Sullivan Avenue","Advance",5,4,1,29,0,83,2,19,2,3,0,0,0,0,0,5,0,153,3
"Banks Peninsula","Woolston","St John's Church Hall, 2 St Johns Street (corner of Ferry Road)","Advance",75,13,5,162,0,1235,3,223,29,52,2,2,1,2,0,30,0,1834,14
"Banks Peninsula","Woolston","Te Waka Unua School Hall, 476 Ferry Road (corner Ferry Road & Hopkins Street)","Advance",4,0,1,21,0,126,0,15,2,5,0,2,0,0,0,0,0,176,2
"Banks Peninsula","Woolston","The Tannery, Metropolitan Lounge, 3 Garlands Road","Advance",28,2,2,86,0,218,1,49,3,2,0,0,0,0,0,8,0,399,1
"Banks Peninsula","Addington","Addington School, Entrance off Somerset Crescent","Regular",2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,6,0
"Banks Peninsula","Akaroa","Akaroa Area School Gymnasium, 141 Rue Jolie (Selwyn Avenue entrance)","Regular",33,6,0,22,0,87,0,87,0,3,0,0,0,0,0,10,0,248,0
"Banks Peninsula","Beckenham","Beckenham Te Kura o Pūroto (School Hall), 71 Sandwich Road","Regular",3,1,0,15,0,52,0,14,3,3,3,0,0,0,0,0,0,94,0
"Banks Peninsula","Beckenham","St Peter's Parish Centre Hall, 11 Fisher Avenue","Regular",2,0,0,9,0,15,0,11,2,1,1,0,0,0,0,3,0,44,0
"Banks Peninsula","Bromley","Bromley School Hall, 33 Keighleys Road","Regular",11,0,1,3,0,36,0,16,5,0,0,0,0,0,0,1,0,73,1
"Banks Peninsula","Bromley","Union Church Hall, 378 Linwood Avenue","Regular",2,3,1,8,0,77,0,16,5,4,0,2,0,0,0,1,0,119,2
"Banks Peninsula","Cashmere","Cashmere Primary School Hall, 135 Hackthorne Road","Regular",41,5,1,67,0,157,1,143,9,11,0,0,0,1,0,8,0,444,1
"Banks Peninsula","Cashmere","Landsdowne Community Centre, 8 Landsdowne Terrace","Regular",26,3,0,44,0,138,5,111,3,5,0,0,2,1,0,12,0,350,0
"Banks Peninsula","Cass Bay","TS Godley (former Navy League Drill Hall), 64 Governors Bay Road","Regular",10,0,0,15,0,44,0,14,0,3,0,0,0,0,1,4,0,91,0
"Banks Peninsula","Cass Bay","Arts Centre (Maker Workshop), Corner Rolleston Ave & Hereford Street","Regular",2,0,0,2,0,5,1,6,0,0,0,0,0,0,0,1,0,17,0
"Banks Peninsula","Cass Bay","Christchurch Public Hospital Great Escape Café, Level 1, 2 Riccarton Avenue","Regular",0,0,0,3,0,19,0,3,0,0,0,0,0,0,0,1,0,26,0
"Banks Peninsula","Cass Bay","South City Shopping Mall, 555 Colombo Street","Regular",1,3,0,7,0,35,0,9,0,0,0,0,0,0,0,1,0,56,0
"Banks Peninsula","Cass Bay","Transitional Cathedral, 234 Hereford Street","Regular",0,0,0,3,0,5,0,2,0,0,0,0,0,0,0,0,0,10,0
"Banks Peninsula","Cass Bay","Tūranga Library (Spark Place Ground floor), 60 Cathedral Square","Regular",3,0,0,3,0,5,1,1,0,0,0,0,0,0,0,0,0,13,0
"Banks Peninsula","Diamond Harbour","Diamond Harbour Community Hall, 2A Waipapa Avenue","Regular",15,0,0,54,0,92,3,32,4,7,0,0,0,0,0,7,0,214,2
