Electorate,Place,Address,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
"Christchurch East","Papanui","North City Church Hall, 95a Sawyers Arms Road",2,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,10,0
"Christchurch East","Papanui","Northlands Mall, near Farmers, 55 Main North Road",2,0,0,2,0,11,0,4,0,0,0,0,0,0,0,0,0,19,0
"Christchurch East","Papanui","Northlands Mall, Sissons Road Car Park (opposite ASB), 55 Main North Road",2,0,0,3,0,11,0,6,0,1,1,0,0,0,0,1,0,25,1
"Christchurch East","Parklands","Parklands Recreation Centre, 75 Queenspark Drive, Christchurch",58,2,0,41,0,377,3,154,20,14,1,2,3,0,0,19,1,695,6
"Christchurch East","Phillipstown","Phillipstown Community Hub (Rooms 5 & 6), 39a Nursery Road",0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,6,0
"Christchurch East","Phillipstown","Te Wai Pounamu Centre, 290 Ferry Road",2,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,7,0
"Christchurch East","Queenspark","Queenspark School Hall, 222 Queenspark Drive",34,2,1,24,0,242,2,104,5,8,0,1,0,0,0,5,0,428,1
"Christchurch East","Redwood","Redwood School Hall, 51 Prestons Road",2,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,11,0
"Christchurch East","Richmond","Avebury House, 9 Evelyn Couzins Avenue",7,2,0,18,0,44,1,14,3,5,0,0,0,0,0,3,0,97,0
"Christchurch East","Richmond","Corner Stanmore & North Avon Road (previous Chemist), 72 North Avon Road",15,3,2,24,0,108,0,39,2,17,1,2,1,0,0,5,0,219,1
"Christchurch East","Shirley","Kidsfirst Kindergartens, MacFarlane Park, 19 Acheson Avenue",5,1,0,15,0,82,1,17,7,2,0,2,1,0,0,3,0,136,0
"Christchurch East","Shirley","Shirley Intermediate School Hall, 60 Shirley Road",11,0,0,1,0,65,3,27,8,2,0,1,0,1,0,2,0,121,0
